000000000000000121000010227,-3.03,1.147,0.883,0,0,2017/12/01 19:16:57,10:16:57.5960740,0.129
000000000000000121000010227,-3.012,1.139,0.878,0,0,2017/12/01 19:16:57,10:16:57.7041900,0.156
000000000000000121000010227,-3.034,1.168,0.896,0,0,2017/12/01 19:16:57,10:16:57.8123060,0.185
000000000000000121000010227,-3.125,1.219,0.881,0,0,2017/12/01 19:16:57,10:16:57.9204220,0.076
000000000000000121000010227,-2.926,1.263,0.873,0,0,2017/12/01 19:16:58,10:16:58.0285380,0.056
000000000000000121000010227,-3.007,1.116,0.847,0,0,2017/12/01 19:16:58,10:16:58.1366540,0.131
000000000000000121000010227,-3.043,1.185,0.912,0,0,2017/12/01 19:16:58,10:16:58.2447700,0.176
000000000000000121000010227,-3.171,1.32,0.972,0,0,2017/12/01 19:16:58,10:16:58.3528860,0.054
000000000000000121000010227,-3.067,1.127,0.878,0,0,2017/12/01 19:16:58,10:16:58.4610020,0.187
000000000000000121000010227,-3.22,1.215,0.809,0,0,2017/12/01 19:16:58,10:16:58.5691180,0.085
000000000000000121000010227,-2.996,1.098,0.867,0,0,2017/12/01 19:16:58,10:16:58.6772340,0.132
000000000000000121000010227,-3.072,1.132,0.887,0,0,2017/12/01 19:16:58,10:16:58.7853500,0.132
000000000000000121000010227,-2.962,1.005,0.992,0,0,2017/12/01 19:16:58,10:16:58.8934660,0.07
000000000000000121000010227,-3.226,1.257,0.961,0,0,2017/12/01 19:16:59,10:16:59.0015820,0.09
000000000000000121000010227,-3.067,1.057,0.984,0,0,2017/12/01 19:16:59,10:16:59.1096980,0.184
000000000000000121000010227,-3.08,1.152,0.933,0,0,2017/12/01 19:16:59,10:16:59.2178140,0.16
000000000000000121000010227,-3.065,1.085,0.882,0,0,2017/12/01 19:16:59,10:16:59.3259300,0.126
000000000000000121000010227,-2.947,1.179,0.845,0,0,2017/12/01 19:16:59,10:16:59.4340460,0.034
000000000000000121000010227,-3.189,1.02,0.853,0,0,2017/12/01 19:16:59,10:16:59.5421620,0.173
000000000000000121000010227,-3.045,1.149,0.881,0,0,2017/12/01 19:16:59,10:16:59.6502780,0.121
000000000000000121000010227,-3.046,1.132,0.947,0,0,2017/12/01 19:16:59,10:16:59.7583940,0.14
000000000000000121000010227,-3.127,1.038,0.866,0,0,2017/12/01 19:16:59,10:16:59.8665100,0.12
000000000000000121000010227,-3.049,1.114,0.873,0,0,2017/12/01 19:16:59,10:16:59.9746260,0.125
000000000000000121000010227,-3.173,1.27,0.93,0,0,2017/12/01 19:17:00,10:17:00.0827420,0.063
000000000000000121000010227,-3.048,1.107,0.899,0,0,2017/12/01 19:17:00,10:17:00.1908580,0.077
000000000000000121000010227,-3.113,1.132,1.033,0,0,2017/12/01 19:17:00,10:17:00.2989740,0.023
000000000000000121000010227,-3.098,1.23,0.909,0,0,2017/12/01 19:17:00,10:17:00.4070900,0.061
000000000000000121000010227,-3.121,1.116,0.922,0,0,2017/12/01 19:17:00,10:17:00.5152060,0.143
000000000000000121000010227,-3.034,1.027,0.811,0,0,2017/12/01 19:17:00,10:17:00.6233220,0.073
000000000000000121000010227,-3.03,1.119,0.886,0,0,2017/12/01 19:17:00,10:17:00.7314380,0.142
000000000000000121000010227,-3.093,1.077,0.859,0,0,2017/12/01 19:17:00,10:17:00.8395540,0.13
000000000000000121000010227,-2.992,1.086,0.923,0,0,2017/12/01 19:17:00,10:17:00.9476700,0.369
000000000000000121000010227,-3.083,0.952,0.905,0,0,2017/12/01 19:17:01,10:17:01.0557860,0.178
000000000000000121000010227,-3.019,0.967,0.884,0,0,2017/12/01 19:17:01,10:17:01.1639020,0.114
000000000000000121000010227,-2.896,1.109,0.984,0,0,2017/12/01 19:17:01,10:17:01.2720180,0.002
000000000000000121000010227,-2.954,1.017,0.85,0,0,2017/12/01 19:17:01,10:17:01.3801340,0.029
000000000000000121000010227,-2.936,0.902,0.803,0,0,2017/12/01 19:17:01,10:17:01.4882500,0.046
000000000000000121000010227,-2.935,0.873,0.846,0,0,2017/12/01 19:17:01,10:17:01.5963660,0.102
000000000000000121000010227,-2.95,0.904,0.876,0,0,2017/12/01 19:17:01,10:17:01.7044820,0.073
000000000000000121000010227,-2.994,0.983,0.878,0,0,2017/12/01 19:17:01,10:17:01.8125980,0.082
000000000000000121000010227,-2.935,0.928,0.837,0,0,2017/12/01 19:17:01,10:17:01.9207140,0.094
000000000000000121000010227,-2.938,1.08,0.985,0,0,2017/12/01 19:17:02,10:17:02.0288300,0.031
000000000000000121000010227,-2.887,0.997,0.964,0,0,2017/12/01 19:17:02,10:17:02.1369460,0.067
000000000000000121000010227,-2.971,0.957,1.053,0,0,2017/12/01 19:17:02,10:17:02.2450620,0.085
000000000000000121000010227,-2.871,1.078,1.233,0,0,2017/12/01 19:17:02,10:17:02.3531780,0.103
